# values taken from L1-L2 optical alignment report, p.16 (couldn't locate raw data or spreadsheet containing these numbers, so reading off of pptx image)
# L1 SMRs
# LABEL X Y Z
SPHERE_3_L1_Cell_SMR3_MEAS  720.563  193.052 398.729
SPHERE_4_L1_Cell_SMR4_MEAS  720.544 -193.105 398.608
SPHERE_5_L1_Cell_SMR5_MEAS  527.530 -527.494 398.685
SPHERE_6_L1_Cell_SMR6_MEAS  193.258 -720.560 398.506
SPHERE_7_L1_Cell_SMR7_MEAS -192.975 -720.081 398.520
SPHERE_8_L1_Cell_SMR8_MEAS -527.503 -527.576 398.171
# L2 SMRs
SPHERE_3_L2_Cell_SMR3_MEAS  633.322  169.735 496.551
SPHERE_4_L2_Cell_SMR4_MEAS  633.416 -170.037 496.663
SPHERE_5_L2_Cell_SMR5_MEAS  463.060 -464.090 496.426
SPHERE_6_L2_Cell_SMR6_MEAS  169.417 -633.837 496.652
SPHERE_7_L2_Cell_SMR7_MEAS -169.596 -633.548 496.491
SPHERE_8_L2_Cell_SMR8_MEAS -463.934 -463.838 496.450
SPHERE_9_L2_Cell_SMR9_MEAS -633.908 -169.406 496.722
#
# values taken from L1-L2 Optical Assembly Spatial Metrology Survey (2565590_Rev_B p.15 - repeated p.16 table 1)
# L1 SMRs
# LABEL X Y Z
SPHERE_3_L1_Cell_SMR3_OASM1  720.6240  193.0225  -96.1435
SPHERE_4_L1_Cell_SMR4_OASM1  720.6049 -193.1354  -96.2636
SPHERE_5_L1_Cell_SMR5_OASM1  527.5911 -527.5240  -96.1874
SPHERE_6_L1_Cell_SMR6_OASM1  193.3188 -720.5900  -96.3664
SPHERE_7_L1_Cell_SMR7_OASM1 -192.9135 -720.1106  -96.3517
SPHERE_8_L1_Cell_SMR8_OASM1 -527.4415 -527.6064  -96.7014
# L2 SMRs
SPHERE_3_L2_Cell_SMR3_OASM1  633.3830  169.7047    1.6787
SPHERE_4_L2_Cell_SMR4_OASM1  633.4770 -170.0672    1.7911
SPHERE_5_L2_Cell_SMR5_OASM1  463.1206 -464.1201    1.5537
SPHERE_6_L2_Cell_SMR6_OASM1  169.4783 -633.8673    1.7805
SPHERE_7_L2_Cell_SMR7_OASM1 -169.5350 -633.5779    1.6192
SPHERE_8_L2_Cell_SMR8_OASM1 -463.8733 -463.8677    1.5777
SPHERE_9_L2_Cell_SMR9_OASM1 -633.8465 -169.4363    1.8501
#
#
# values taken from L1-L2 Optical Assembly Spatial Metrology Survey (2565590_Rev_B p.16 table 2)
# L1 SMRs
# LABEL X Y Z
SPHERE_3_L1_Cell_SMR3_OASM2  720.6397  193.0368  -96.1416
SPHERE_4_L1_Cell_SMR4_OASM2  720.6004 -193.1302  -96.2630
SPHERE_5_L1_Cell_SMR5_OASM2  527.5789 -527.5256  -96.1974
SPHERE_6_L1_Cell_SMR6_OASM2  193.3194 -720.6120  -96.3538
SPHERE_7_L1_Cell_SMR7_OASM2 -192.9054 -720.1070  -96.3563
SPHERE_8_L1_Cell_SMR8_OASM2 -527.4492 -527.6060  -96.7017
# L2 SMRs
SPHERE_3_L2_Cell_SMR3_OASM2  633.3448  169.6864    1.7163
SPHERE_4_L2_Cell_SMR4_OASM2  633.4860 -170.0912    1.7975
SPHERE_5_L2_Cell_SMR5_OASM2  463.1374 -464.1253    1.5731
SPHERE_6_L2_Cell_SMR6_OASM2  169.4994 -633.8701    1.8097
SPHERE_7_L2_Cell_SMR7_OASM2 -169.5032 -633.5926    1.6309
SPHERE_8_L2_Cell_SMR8_OASM2 -463.8549 -463.9038    1.5540
SPHERE_9_L2_Cell_SMR9_OASM2 -633.8335 -169.5113    1.8416
#
#
# values taken from L1-L2 Optical Assembly Spatial Metrology Survey (2565590_Rev_B p.19 [transformed SER coordinates??])
# L1 SMRs
# LABEL X Y Z
SPHERE_1_AR_SMR1_OASM3        68.970  789.538 -401.924
SPHERE_2_AR_SMR2_OASM3       454.927  649.423 -401.786
SPHERE_3_AR_SMR3_OASM3       718.465  355.099 -401.733
SPHERE_4_AR_SMR4_OASM3       789.795  -68.895 -401.941
SPHERE_5_AR_SMR5_OASM3       649.027 -454.421 -402.135
SPHERE_6_AR_SMR6_OASM3       334.998 -718.871 -401.777
SPHERE_7_AR_SMR7_OASM3       -69.032 -790.114 -401.418
SPHERE_8_AR_SMR8_OASM3      -454.688 -650.041 -401.801
SPHERE_9_AR_SMR9_OASM3      -718.588 -355.537 -402.077
SPHERE_10_AR_SMR10_OASM3      -789.578   68.611 -402.070
SPHERE_11_AR_SMR11_OASM3      -744.973  270.622 -401.955
SPHERE_12_AR_SMR12_OASM3      -649.564  454.386 -401.947
SPHERE_13_AR_SMR13_OASM3      -344.897  717.928 -402.144
SPHERE_1_L1_Cell_SMR1_OASM3  193.430  720.318  -96.226
SPHERE_2_L1_Cell_SMR2_OASM3  527.682  526.991  -96.144
SPHERE_3_L1_Cell_SMR3_OASM3  720.655  192.468  -96.195
SPHERE_4_L1_Cell_SMR4_OASM3  720.414 -193.683  -96.266
SPHERE_5_L1_Cell_SMR5_OASM3  527.234 -527.986  -96.171
SPHERE_6_L1_Cell_SMR6_OASM3  192.877 -720.912  -96.292
SPHERE_7_L1_Cell_SMR7_OASM3 -193.335 -720.234  -96.263
